Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Lorenzo Williams,Reg,31,19962000,25,40,57,80,70.2,144.6,24.6,1.0,29.2,1.2,122.1,4,100,93,93,99
Clifford Rozier,Reg,32,19961998,42,82,180,164,45.6,92.5,-13.3,-0.3,0.0,0.0,86.6,30,31,35,35,20
Eric Riley,Reg,35,19961999,53,84,189,168,44.4,93.8,-11.4,-0.2,6.9,0.1,95.2,18,36,38,38,43
Sarunas Marciulionis,Reg,36,19961997,17,38,101,87,43.1,87.4,-12.6,-0.7,-5.2,-0.3,87.1,50,18,15,15,19
Greg Graham,Reg,37,19961998,26,36,92,81,44.0,89.8,-9.3,-0.4,-2.3,-0.1,89.0,20,24,31,31,22
Brad Lohaus,Reg,38,19961998,12,11,36,28,38.9,80.5,-6.9,-0.6,-3.6,-0.3,80.8,11,14,26,26,16
Monty Williams,Reg,42,19962003,375,1056,2174,2116,48.7,101.3,28.7,0.1,195.8,0.5,94.9,44,60,62,62,45
Chris Whitney,Reg,43,19962004,471,1143,2882,2806,48.7,102.0,54.0,0.1,272.6,0.6,101.4,47,65,64,64,65
George McCloud,Reg,45,19962002,393,1274,3197,3030,47.4,99.1,-27.9,-0.1,216.4,0.6,97.4,64,54,51,51,52
Wayman Tisdale,Reg,47,19961997,53,158,371,316,42.6,86.4,-49.8,-0.9,-22.6,-0.4,90.5,57,16,10,10,27
Gheorghe Muresan,Reg,49,19962000,102,368,632,736,58.2,118.5,115.5,1.1,161.6,1.6,121.4,47,91,91,91,95
Mahmoud Abdul-Rauf,Reg,51,19962001,145,634,1443,1371,47.5,97.6,-33.7,-0.2,83.3,0.6,106.5,71,54,54,54,76
Micheal Williams,Reg,52,19961999,25,17,53,34,32.1,67.2,-16.6,-0.7,-11.2,-0.4,68.3,2,1,19,19,2
Mario Elie,Reg,53,19962001,340,952,2075,2229,53.7,111.9,238.4,0.7,409.0,1.2,105.6,46,87,85,85,73
Dickey Simpkins,Reg,54,19962002,182,340,780,681,43.7,92.1,-59.5,-0.3,2.6,0.0,82.6,25,38,41,41,18
Marty Conlon,Reg,55,19962000,98,246,531,494,46.5,94.8,-26.9,-0.3,13.9,0.1,95.8,43,40,40,40,46
Gary Payton,Reg,56,19962007,843,5755,12646,12448,49.2,102.9,348.7,0.4,1285.3,1.5,99.4,86,70,81,81,59
Doug Christie,Reg,57,19962007,670,2794,6577,6305,47.9,100.4,24.2,0.0,528.2,0.8,96.3,72,59,56,56,48
Carl Herrera,Reg,61,19961999,145,363,844,728,43.1,88.5,-94.8,-0.7,-27.2,-0.2,92.3,42,20,18,18,33
Michael Smith,Reg,63,19962001,285,586,1123,1172,52.2,108.6,92.9,0.3,184.8,0.6,95.7,23,83,75,75,46
Sam Perkins,Reg,64,19962001,350,836,1999,2043,51.1,106.2,119.2,0.3,283.3,0.8,104.3,41,78,77,77,75
Greg Minor,Reg,65,19961999,132,319,721,653,45.3,94.6,-37.1,-0.3,26.8,0.2,100.8,40,37,41,41,64
Tom Hammonds,Reg,67,19962001,216,445,930,890,47.9,99.3,-6.5,0.0,70.3,0.3,99.0,28,55,57,57,57
Steve Kerr,Reg,70,19962003,364,765,1649,1846,56.0,116.5,264.0,0.7,396.7,1.1,121.5,30,91,84,84,96
Pooh Richardson,Reg,71,19961999,133,267,713,587,41.2,84.9,-104.1,-0.8,-42.0,-0.3,88.9,41,16,15,15,24
Kenny Anderson,Reg,72,19962005,512,2109,4936,4526,45.9,95.5,-209.9,-0.4,159.7,0.3,96.8,70,43,36,36,49
Hot Rod Williams,Reg,73,19961999,149,310,651,620,47.6,97.7,-14.0,-0.1,39.7,0.3,93.9,30,53,55,55,41
Cedric Ceballos,Reg,76,19962001,213,1093,2403,2310,48.1,100.0,-0.3,0.0,190.1,0.9,93.1,77,58,49,49,35
Doug Overton,Reg,77,19962004,208,367,919,777,42.3,88.6,-100.3,-0.5,-35.5,-0.2,94.9,29,21,28,28,43
LaSalle Thompson,Reg,78,19961997,11,3,19,6,15.8,32.0,-12.7,-1.2,-11.3,-1.0,31.6,1,0,5,5,0
Ken Norman,Reg,80,19961997,17,27,94,60,31.9,64.7,-32.7,-1.9,-25.8,-1.5,62.6,46,2,1,1,2
Jeff Grayer,Reg,81,19961998,25,42,94,90,47.9,97.4,-2.4,-0.1,4.8,0.2,95.4,22,46,54,54,43
Bill Wennington,Reg,82,19962000,140,261,607,523,43.1,89.5,-60.0,-0.4,-9.0,-0.1,100.4,29,33,36,36,62
Latrell Sprewell,Reg,84,19962005,607,4009,9536,8727,45.8,95.7,-386.6,-0.6,296.5,0.5,99.7,94,43,26,26,60
Brent Price,Reg,85,19962002,190,325,779,816,52.4,110.0,73.3,0.4,140.5,0.7,107.0,26,77,76,76,67
Dikembe Mutombo,Reg,87,19962009,732,2345,4557,4690,51.5,107.3,318.6,0.4,657.9,0.9,103.2,45,80,80,80,71
Steve Scheffler,Reg,88,19961997,4,5,6,10,83.3,169.0,4.1,1.0,4.5,1.1,177.4,0,100,94,94,100
Nick Van Exel,Reg,89,19962006,643,3362,8352,7802,46.7,97.7,-181.8,-0.3,439.6,0.7,99.8,84,51,39,39,59
Hubert Davis,Reg,93,19962004,391,1189,2661,2789,52.4,110.1,255.1,0.7,474.7,1.2,112.8,52,86,87,87,90
Mark Bryant,Reg,95,19962003,254,641,1288,1282,49.8,104.1,51.4,0.2,154.0,0.6,109.0,35,72,71,71,85
Detlef Schrempf,Reg,96,19962001,289,1278,2699,2732,50.6,105.6,144.4,0.5,373.4,1.3,107.2,67,76,83,83,81
Nick Anderson,Reg,98,19962002,272,1225,3034,2921,48.1,100.5,15.1,0.1,262.3,1.0,99.0,76,61,64,64,59
Tim Legler,Reg,100,19962000,66,97,260,223,42.9,90.5,-24.2,-0.4,-3.7,-0.1,93.1,22,42,42,42,48
Todd Day,Reg,103,19962001,169,582,1477,1382,46.8,96.0,-58.9,-0.3,51.1,0.3,91.8,61,44,29,29,30
Benoit Benjamin,Reg,104,19962000,20,30,63,60,47.6,99.3,-0.4,0.0,5.4,0.3,97.2,15,62,58,58,61
Dan Majerle,Reg,105,19962002,333,799,2054,2091,50.9,106.5,127.4,0.4,289.4,0.9,97.0,46,76,76,76,50
Dale Ellis,Reg,107,19962000,246,1064,2405,2578,53.6,111.1,253.8,1.0,453.4,1.8,110.8,69,81,83,83,83
Robert Horry,Reg,109,19962008,786,1635,3990,3781,47.4,98.7,-51.4,-0.1,235.8,0.3,92.9,37,54,55,55,36
LaPhonso Ellis,Reg,111,19962003,405,1731,4031,3690,45.8,95.3,-179.9,-0.4,148.6,0.4,98.1,70,41,31,31,54
Dontonio Wingfield,Reg,112,19961998,43,79,196,184,46.9,95.2,-9.2,-0.2,5.3,0.1,92.3,34,43,48,48,37
David Wood,Reg,116,19961997,22,20,38,45,59.2,120.1,7.5,0.3,10.3,0.5,115.9,1,98,78,78,98
Steven Smith,Reg,120,19962005,579,2620,5988,5927,49.5,103.4,194.9,0.3,662.0,1.1,102.4,72,69,68,68,69
Patrick Ewing,Reg,121,19962002,346,1908,4105,3818,46.5,96.8,-125.2,-0.4,192.8,0.6,101.0,77,47,39,39,62
Fred Roberts,Reg,122,19961997,10,6,15,12,40.0,81.1,-2.8,-0.3,-1.7,-0.2,80.0,0,9,38,38,8
Robert Pack,Reg,123,19962004,249,756,1870,1563,41.8,87.0,-234.9,-0.9,-88.4,-0.4,85.4,54,19,14,14,18
Vlade Divac,Reg,124,19962005,612,2665,5529,5377,48.6,102.0,103.0,0.2,517.4,0.8,98.8,70,66,68,68,56
David Benoit,Reg,128,19962001,116,223,555,506,45.6,95.7,-23.1,-0.2,31.4,0.3,94.9,31,42,39,39,42
Dino Radja,Reg,129,19961997,25,149,339,298,44.0,89.1,-36.3,-1.5,-11.5,-0.5,92.8,90,22,3,3,35
David Wesley,Reg,133,19962007,749,3718,8800,8381,47.6,99.6,-37.1,0.0,617.8,0.8,100.4,80,56,53,53,62
Kevin Johnson,Reg,134,19962000,126,612,1265,1318,52.1,106.5,81.8,0.6,184.4,1.5,106.4,70,76,80,80,79
P.J. Brown,Reg,136,19962008,846,3077,6595,6154,46.7,97.3,-174.8,-0.2,295.6,0.3,102.2,62,48,46,46,66
Vernon Maxwell,Reg,137,19962001,247,849,2298,2031,44.2,91.9,-180.5,-0.7,1.3,0.0,87.7,68,32,23,23,22
Anthony Avent,Reg,138,19962000,39,33,109,66,30.3,63.5,-37.9,-1.0,-30.0,-0.8,59.2,8,1,7,7,1
Donald Royal,Reg,140,19961998,77,87,215,174,40.5,82.8,-35.9,-0.5,-18.2,-0.2,80.1,8,12,29,29,10
Terry Dehere,Reg,143,19961999,170,359,919,836,45.5,94.2,-52.1,-0.3,29.0,0.2,94.8,40,37,37,37,42
Tracy Murray,Reg,145,19962004,395,1315,3130,3126,49.9,104.0,122.4,0.3,381.2,1.0,104.1,59,71,75,75,72
Jud Buechler,Reg,146,19962002,315,417,1011,1009,49.9,104.9,45.6,0.1,126.3,0.4,101.7,13,65,65,65,61
Jalen Rose,Reg,147,19962007,759,4335,9841,9348,47.5,99.5,-47.0,-0.1,666.4,0.9,106.2,80,57,54,54,79
Adrian Caldwell,Reg,154,19961998,35,40,92,80,43.5,88.2,-10.7,-0.3,-4.0,-0.1,80.8,7,19,36,36,10
Antoine Carr,Reg,156,19962000,183,452,963,904,46.9,96.6,-31.1,-0.2,49.2,0.3,103.2,39,45,48,48,73
Derek Harper,Reg,157,19961999,185,645,1507,1452,48.2,99.9,-1.8,0.0,126.8,0.7,100.7,62,58,56,56,62
Tim Breaux,Reg,160,19961998,4,4,11,9,40.9,85.6,-1.5,-0.4,-0.4,-0.1,71.1,8,14,32,32,3
Chris Childs,Reg,164,19962003,400,858,2139,1952,45.6,95.3,-97.6,-0.2,69.4,0.2,97.7,39,44,45,45,51
Hakeem Olajuwon,Reg,165,19962002,338,2076,4191,4161,49.6,103.4,136.0,0.4,465.5,1.4,109.4,81,70,77,77,87
Ron Harper,Reg,166,19962001,318,956,2263,2075,45.9,95.8,-88.5,-0.3,102.8,0.3,90.9,56,44,37,37,32
Chris Mills,Reg,168,19962003,329,1294,3038,2816,46.4,96.5,-100.5,-0.3,139.8,0.4,99.0,68,48,44,44,57
Joe Kleine,Reg,170,19962000,120,142,361,286,39.6,82.1,-62.4,-0.5,-32.2,-0.3,89.6,11,10,25,25,28
Keith Askins,Reg,173,19961999,143,197,503,492,48.9,100.4,3.1,0.0,44.0,0.3,95.4,19,62,63,63,54
Alton Lister,Reg,175,19961998,43,35,85,70,41.2,83.7,-13.6,-0.3,-7.1,-0.2,83.8,2,12,36,36,13
Antonio Harvey,Reg,176,19962003,31,41,86,82,47.7,99.8,-0.2,0.0,6.3,0.2,96.6,8,56,56,56,59
Muggsy Bogues,Reg,177,19962001,240,578,1280,1237,48.3,100.2,3.7,0.0,107.4,0.4,109.2,38,59,59,59,88
Olden Polynice,Reg,178,19962004,361,1269,2680,2540,47.4,98.6,-38.0,-0.1,182.2,0.5,100.1,54,53,43,43,60
Bryant Stith,Reg,179,19962002,295,841,2106,1925,45.7,95.4,-92.5,-0.3,75.0,0.3,94.7,52,44,41,41,44
John Crotty,Reg,180,19962003,237,399,933,910,48.8,101.9,17.8,0.1,86.2,0.4,98.7,23,64,63,63,58
Kenny Smith,Reg,181,19961997,45,101,239,261,54.6,110.8,25.3,0.6,42.8,1.0,118.8,43,92,85,85,99
Billy Owens,Reg,182,19962001,269,940,2121,1950,46.0,95.5,-90.7,-0.3,89.6,0.3,95.1,60,45,44,44,44
Bison Dele,Reg,183,19961999,136,773,1534,1547,50.4,106.2,89.3,0.7,235.5,1.7,107.3,80,79,87,87,83
Bobby Phills,Reg,184,19962000,202,941,2150,2109,49.1,102.1,42.8,0.2,220.0,1.1,100.1,77,64,66,66,59
Chris Webber,Reg,185,19962008,685,6006,12773,12221,47.8,99.7,-40.1,-0.1,906.9,1.3,103.3,96,57,57,57,71
Terry Cummings,Reg,187,19962000,187,617,1348,1238,45.9,96.1,-49.8,-0.3,64.8,0.3,104.7,57,45,40,40,77
Duane Causwell,Reg,190,19962001,115,157,340,316,46.5,96.8,-10.1,-0.1,18.8,0.2,96.3,11,49,47,47,48
Dennis Scott,Reg,192,19962000,244,839,2123,2058,48.5,100.5,10.9,0.0,191.5,0.8,101.8,63,60,60,60,66
Anthony Mason,Reg,193,19962003,462,2106,4223,4214,49.9,104.1,166.1,0.4,502.4,1.1,105.5,70,73,77,77,80
Anthony Bowie,Reg,194,19961998,21,32,60,67,55.8,116.8,9.6,0.5,15.7,0.7,122.4,9,97,81,81,100
Lee Mayberry,Reg,195,19961999,160,287,738,722,48.9,100.7,5.8,0.0,70.0,0.4,98.7,34,61,61,61,56
Scott Burrell,Reg,197,19962001,238,505,1289,1214,47.1,98.3,-21.4,-0.1,85.1,0.4,94.8,41,53,51,51,42
Danny Ferry,Reg,198,19962003,432,1082,2432,2516,51.7,107.8,179.6,0.4,371.4,0.9,115.4,39,76,76,76,89
Reggie Williams,Reg,199,19961997,13,29,76,67,44.1,89.4,-7.9,-0.6,-2.4,-0.2,87.4,49,22,20,20,19
Chris Dudley,Reg,201,19962003,245,304,736,608,41.3,85.8,-100.9,-0.4,-42.1,-0.2,79.5,12,18,31,31,11
Gary Grant,Reg,202,19962001,56,93,225,207,46.0,95.0,-11.3,-0.2,7.9,0.1,95.3,26,42,43,43,43
Nate McMillan,Reg,203,19961998,55,84,216,211,48.8,100.0,0.0,0.0,17.8,0.3,98.1,25,59,59,59,55
Jeff Hornacek,Reg,204,19962000,287,1384,2860,2996,52.4,109.0,246.9,0.9,482.8,1.7,115.1,74,86,92,92,95
Sam Cassell,Reg,208,19962008,781,4994,10919,10498,48.1,100.1,2.3,0.0,771.6,1.0,110.8,89,58,57,57,87
Dell Curry,Reg,209,19962002,350,1238,2789,2934,52.6,109.6,255.4,0.7,471.8,1.3,110.7,60,85,86,86,88
Terrell Brandon,Reg,210,19962002,345,2278,5092,4790,47.0,98.1,-92.7,-0.3,311.7,0.9,105.9,92,51,42,42,79
Eric Mobley,Reg,211,19961997,22,28,63,56,44.4,90.1,-6.1,-0.3,-1.5,-0.1,83.7,9,24,38,38,13
Yinka Dare,Reg,212,19961998,36,23,72,46,31.9,65.2,-24.5,-0.7,-18.7,-0.5,66.0,2,2,19,19,2
Antonio Davis,Reg,213,19962006,694,2627,5969,5255,44.0,92.2,-445.3,-0.6,-9.1,0.0,92.5,65,32,22,22,34
Brian Shaw,Reg,216,19962003,393,792,2129,1802,42.3,88.2,-242.3,-0.6,-67.6,-0.2,88.2,39,23,24,24,25
Vinny Del Negro,Reg,219,19962002,299,950,2093,1983,47.4,98.4,-32.4,-0.1,139.7,0.5,111.0,49,53,51,51,90
Clar. Weatherspoon,Reg,221,19962005,584,1895,3985,3791,47.6,99.4,-23.4,0.0,289.5,0.5,98.0,51,56,53,53,53
Bill Curley,Reg,223,19962001,82,99,220,200,45.5,96.1,-8.1,-0.1,10.2,0.1,99.7,7,41,53,53,52
Eddie Jones,Reg,224,19962008,814,4253,9857,9878,50.1,104.5,422.2,0.5,1119.9,1.4,100.3,81,74,81,81,63
Antonio Lang,Reg,226,19962000,62,76,179,152,42.5,86.5,-23.8,-0.4,-10.5,-0.2,84.7,12,19,31,31,19
Adam Keefe,Reg,228,19962001,261,484,997,969,48.6,101.6,15.7,0.1,104.1,0.4,93.9,20,62,63,63,45
Khalid Reeves,Reg,234,19962000,158,443,1096,1026,46.8,96.6,-35.5,-0.2,62.0,0.4,94.7,53,47,45,45,43
Kevin Edwards,Reg,236,19962001,108,182,518,390,37.6,78.1,-109.0,-1.0,-63.9,-0.6,81.8,34,8,9,9,11
Tyrone Hill,Reg,238,19962004,395,1486,3017,2972,49.3,102.8,85.3,0.2,329.0,0.8,96.9,61,62,61,61,48
Darrick Martin,Reg,239,19962008,387,944,2513,2211,44.0,91.2,-212.4,-0.5,-10.7,0.0,87.7,47,31,27,27,24
Brooks Thompson,Reg,240,19961998,82,185,462,476,51.5,104.9,22.2,0.3,57.6,0.7,106.2,42,77,76,76,81
Darrin Hancock,Reg,241,19961997,14,16,35,32,45.7,92.7,-2.5,-0.2,0.0,0.0,85.1,5,32,47,47,15
Aaron McKie,Reg,243,19962007,629,1812,4194,3963,47.3,99.2,-32.2,-0.1,283.6,0.5,100.1,51,58,57,57,62
Dee Brown,Reg,244,19962002,189,606,1545,1555,50.3,105.9,85.6,0.5,219.1,1.2,101.7,64,76,78,78,66
Greg Anderson,Reg,246,19961998,105,166,343,332,48.4,98.8,-3.8,0.0,23.7,0.2,88.0,16,54,58,58,25
Joe Dumars,Reg,247,19961999,189,858,2016,2129,52.8,109.5,184.1,1.0,357.7,1.9,113.6,77,87,93,93,95
George Lynch,Reg,248,19962005,551,1540,3537,3219,45.5,95.6,-149.5,-0.3,128.0,0.2,93.2,50,44,44,44,37
Sean Elliott,Reg,251,19962001,194,711,1719,1605,46.7,97.8,-36.2,-0.2,107.6,0.6,95.1,66,50,41,41,43
Karl Malone,Reg,252,19962004,578,4882,9749,9782,50.2,105.0,466.9,0.8,1228.4,2.1,108.2,95,74,77,77,86
Grant Hill,Reg,255,19962013,870,5273,10841,10756,49.6,101.9,200.3,0.2,1011.4,1.2,104.8,81,65,68,68,76
Brian Grant,Reg,258,19962006,591,2263,4681,4527,48.4,101.8,77.5,0.1,435.9,0.7,103.3,60,64,65,65,73
Michael Cage,Reg,262,19962000,107,121,249,242,48.6,100.0,-0.3,0.0,20.3,0.2,92.1,4,57,58,58,33
Harvey Grant,Reg,265,19961999,166,266,678,562,41.5,85.9,-91.4,-0.6,-34.6,-0.2,90.0,25,19,25,25,25
Horace Grant,Reg,270,19962004,477,1847,3940,3695,46.9,98.0,-71.4,-0.1,236.4,0.5,102.3,63,51,47,47,67
Johnny Newman,Reg,271,19962002,402,1332,3063,2910,47.5,99.3,-21.2,-0.1,233.7,0.6,96.8,58,54,49,49,49
Duane Ferrell,Reg,273,19961999,102,201,462,420,45.5,92.8,-31.5,-0.3,5.7,0.1,94.0,33,48,50,50,53
Allan Houston,Reg,275,19962005,602,4103,9243,9127,49.4,103.6,312.4,0.5,1025.2,1.7,111.6,92,71,79,79,90
Stacey Augmon,Reg,278,19962006,552,1003,2315,2008,43.4,90.9,-201.0,-0.4,-29.6,-0.1,91.5,26,30,35,35,34
Charles Jones,Reg,279,19961998,15,9,15,18,60.0,124.7,3.5,0.2,4.9,0.3,101.8,0,70,69,69,66
Felton Spencer,Reg,280,19962002,181,246,525,492,46.9,96.5,-17.4,-0.1,24.7,0.1,92.6,12,50,54,54,41
Scott Williams,Reg,281,19962005,407,952,2071,1907,46.0,96.3,-73.5,-0.2,84.7,0.2,100.7,38,49,50,50,62
Lindsey Hunter,Reg,283,19962010,705,2277,5823,5407,46.4,96.7,-186.3,-0.3,259.7,0.4,95.7,59,48,47,47,48
Eric Leckner,Reg,287,19961997,12,14,33,28,42.4,86.0,-4.5,-0.4,-2.1,-0.2,86.7,8,15,33,33,18
Armen Gilliam,Reg,288,19962000,242,807,1726,1614,46.8,97.2,-46.4,-0.2,100.9,0.4,104.0,56,49,48,48,72
Ledell Eackles,Reg,289,19961998,37,75,175,166,47.4,99.2,-1.3,0.0,16.5,0.4,102.9,34,56,56,56,73
Ed Pinckney,Reg,291,19961997,18,23,43,46,53.5,108.5,3.6,0.2,6.8,0.4,107.0,4,87,72,72,83
Anthony Miller,Reg,292,19962005,78,112,219,224,51.1,107.7,15.9,0.2,33.9,0.4,90.2,9,82,70,70,33
Charles Smith,Reg,293,19961997,19,34,84,68,40.5,82.1,-14.8,-0.8,-8.7,-0.5,87.5,33,10,15,15,19
Rick Fox,Reg,296,19962004,559,2027,4607,4635,50.3,105.1,225.5,0.4,589.2,1.1,100.7,64,74,77,77,64
Alonzo Mourning,Reg,297,19962008,547,2984,5560,5970,53.7,111.6,618.5,1.1,1013.7,1.9,111.1,70,89,94,94,90
Glenn Robinson,Reg,299,19962005,526,4308,9337,9060,48.5,101.6,143.8,0.3,866.8,1.6,111.8,96,65,70,70,92
Mookie Blaylock,Reg,302,19962002,373,1810,4532,4197,46.3,96.5,-146.1,-0.4,225.2,0.6,96.3,82,45,35,35,46
John Stockton,Reg,304,19962003,524,2287,4471,4863,54.4,113.7,589.2,1.1,936.6,1.8,113.2,68,92,94,94,94
Robert Parish,Reg,305,19961997,38,70,143,140,49.0,99.3,-1.0,0.0,9.5,0.2,101.4,22,57,58,58,64
Derrick Alston,Reg,308,19961997,1,0,5,0,0.0,0.0,-4.9,-4.9,-4.6,-4.6,0.0,39,0,0,0,0
Bobby Hurley,Reg,310,19961998,92,139,363,297,40.9,84.6,-53.8,-0.6,-20.4,-0.2,90.3,24,13,22,22,28
Richard Manning,Reg,316,19961997,21,32,82,66,40.2,81.6,-14.9,-0.7,-8.9,-0.4,86.3,25,9,17,17,18
John Starks,Reg,317,19962002,383,1600,4068,3710,45.6,95.3,-179.2,-0.5,154.2,0.4,95.3,74,42,33,33,43
Jamie Watson,Reg,320,19961999,21,32,74,68,46.0,93.4,-4.9,-0.2,0.6,0.0,89.9,18,35,40,40,26
Greg Foster,Reg,323,19962003,319,545,1289,1102,42.8,89.3,-132.0,-0.4,-20.9,-0.1,97.1,23,24,32,32,50
Anthony Peeler,Reg,324,19962005,571,2071,4951,4833,48.8,102.0,93.3,0.2,466.5,0.8,103.5,64,65,61,61,71
Rick Mahorn,Reg,328,19961999,77,84,201,168,41.8,86.9,-25.3,-0.3,-6.7,-0.1,89.1,7,28,38,38,32
Danny Manning,Reg,330,19962003,394,1483,2957,2986,50.5,105.3,150.5,0.4,396.0,1.0,108.5,55,77,79,79,85
Kevin Gamble,Reg,333,19961997,56,123,286,300,52.5,106.4,18.0,0.3,39.0,0.7,110.5,40,82,78,78,92
Willie Anderson,Reg,335,19961997,18,29,64,66,51.6,104.6,2.9,0.2,7.6,0.4,100.2,19,76,69,69,60
Tom Gugliotta,Reg,339,19962005,442,2003,4449,4050,45.5,94.8,-223.1,-0.5,120.8,0.3,99.9,66,43,38,38,58
Joe Wolf,Reg,341,19961999,85,80,211,163,38.6,79.6,-41.4,-0.5,-22.4,-0.3,95.8,6,14,29,29,45
Dana Barros,Reg,344,19962004,312,1014,2275,2362,51.9,108.9,193.2,0.6,381.3,1.2,109.6,57,84,83,83,86
Terry Porter,Reg,345,19962002,427,1157,2619,2766,52.8,110.6,262.9,0.6,472.7,1.1,107.1,48,86,84,84,82
Mitchell Butler,Reg,348,19962004,129,198,458,432,47.2,99.2,-4.4,0.0,28.4,0.2,94.3,17,58,58,58,45
Mark Jackson,Reg,349,19962004,575,1607,3820,3627,47.5,99.3,-25.9,0.0,271.9,0.5,103.1,51,55,54,54,71
Stacey King,Reg,351,19961997,10,11,22,22,50.0,101.4,0.3,0.0,1.9,0.2,99.3,3,65,61,61,55
Darrell Armstrong,Reg,353,19962008,766,2644,6466,6203,48.0,100.5,27.2,0.0,491.7,0.6,99.7,62,62,66,66,63
Vincent Askew,Reg,355,19961998,64,100,240,207,43.1,88.0,-28.0,-0.4,-8.9,-0.1,87.6,23,24,31,31,24
Chris Morris,Reg,356,19961999,154,271,655,608,46.4,96.4,-23.5,-0.2,31.8,0.2,89.6,28,45,46,46,24
Anfernee Hardaway,Reg,358,19962008,459,2278,5282,4833,45.8,95.7,-215.8,-0.5,156.4,0.3,98.1,79,44,38,38,53
Chucky Brown,Reg,359,19962002,266,613,1349,1246,46.2,97.1,-38.0,-0.1,74.9,0.3,104.5,35,47,49,49,72
Clifford Robinson,Reg,361,19962007,816,3896,9097,8673,47.7,99.7,-29.7,0.0,636.8,0.8,102.2,76,56,53,53,68
Christian Laettner,Reg,363,19962005,553,2245,4634,4550,49.1,102.3,100.9,0.2,463.2,0.8,104.3,63,66,68,68,74
Rex Chapman,Reg,364,19962000,219,1029,2484,2382,48.0,99.7,-4.1,0.0,208.9,1.0,102.8,78,58,59,59,68
Derrick McKey,Reg,365,19962002,240,476,1124,990,44.0,91.5,-93.1,-0.4,-2.0,0.0,92.9,29,32,33,33,39
Dwayne Schintzius,Reg,368,19961999,20,17,52,35,33.7,69.2,-15.4,-0.8,-11.4,-0.6,72.9,8,5,15,15,5
Charlie Ward,Reg,369,19962005,545,1309,3191,3223,50.5,106.1,182.8,0.3,430.2,0.8,101.0,46,76,74,74,64
Terry Mills,Reg,371,19962001,219,621,1438,1542,53.6,110.4,146.6,0.7,257.4,1.2,112.0,49,84,85,85,89
Isaiah Rider,Reg,375,19962002,330,1943,4515,4258,47.2,98.4,-68.4,-0.2,308.0,0.9,102.3,86,53,45,45,69
Eric Montross,Reg,376,19962002,269,389,899,778,43.3,89.8,-88.4,-0.3,-18.8,-0.1,88.9,17,28,35,35,27
Craig Ehlo,Reg,378,19961997,53,87,248,201,40.5,82.2,-43.5,-0.8,-25.4,-0.5,78.8,36,10,13,13,8
Tony Smith,Reg,380,19962001,74,154,384,340,44.3,90.1,-37.0,-0.5,-7.8,-0.1,89.5,40,29,30,30,25
James Robinson,Reg,381,19962001,165,462,1179,1123,47.6,98.7,-14.0,-0.1,88.6,0.5,95.1,55,54,53,53,45
Kendall Gill,Reg,383,19962005,536,2496,6026,5155,42.8,89.2,-618.5,-1.2,-151.6,-0.3,91.7,78,24,8,8,33
Calbert Cheaney,Reg,384,19962006,596,2101,4497,4257,47.3,99.0,-44.4,-0.1,301.8,0.5,106.0,57,56,55,55,80
Elliot Perry,Reg,386,19962002,295,695,1566,1478,47.2,98.0,-29.0,-0.1,103.9,0.4,105.0,38,50,50,50,77
